,l,r,des
235,12000,25000,岗位职责：1、负责数据挖掘平台的算法封装、后台的开发、部署及文档编写工作；2、负责数据挖掘对应业务的对接。3、基于海量数据，开发设计高可扩展/高并发/高效的数据挖掘、机器学习、统计分析、图 等算法，挖掘用户风险行为特征4、利用数据挖掘、机器学习、ai等技术的应用、以及对技术的创新和设计识别风险行为及场景，包含人机识别、社区关系网络、打假反作弊、风险画像、nlp、图像语音识别与反识别等技术的探索和应用；5、基于聊天、商品评论、网络爬虫等数据基础的机器学习数据挖掘。任职要求：1、计算机、统计学、应用数学等大数据相关专业研究生以上学历，3年以上相关工作经验；2、精通聚类，分类等机器学习算法的原理及应用；3、熟悉boosting，svm，神经网络等机器学习算法的一种或多种；4、精通c/c++，java，python，scala等编程语言的一种或多种，具备良好的编码能力；5、熟悉mahout，mllib，golearn等机器学习算法开源项目；6、擅长大规模分布式系统、海量数据处理、实时分析等方面的算法设计、优化优先；7、熟悉hadoop/spark优先；8、思维严谨、突出的分析和归纳能力，优秀的沟通、团队协作能力。
237,12000,25000,岗位职责：1、从事音频算法在嵌入式平台的移植工作；2、完成音频算法优化和调试；3、跟踪音频算法的客户反馈。职位要求：1、1年以上嵌入式软件行业经验，有展讯/mtk/高通平台算法移植经验；2、熟练掌握c或c++、熟悉汇编语言;                                3、有回声消除，噪声抑制，波束形成等算法移植和优化的经验。
220,12000,24000,"工作职责：基于大数据平台，参与大数据应用开发与维护。任职要求：1)计算机或数学相关专业本科及以上学历;2)从事大数据开发相关工作1年以上;3)有海量数据处理、数据仓库建模、 etl 等经验;4)熟悉hadoop 以及 hadoop 生态圈上的各种应用两种以上，如 hbase 、 hive 、 spark 、 storm;5)熟悉java/scala/python 至少两种，有 mysql 、 nosql 相关开发经验;6)熟悉hadoop/spark生态系统组件7)具备良好的团队合作精神，有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题;8)有良好的逻辑思维能力，较强的抽象、概括、总结能力;9)有金融领域大数据平台建设经验 ,实际的 hadoop/spark的项目经验优先考虑。"
219,12000,22000,任职要求：1、 计算机、统计、数学等相关专业方向；2、 了解机器学习领域的相关技术、方法和工具，熟悉caffe、tensorflow、spark mlib等主流深度学习框架；3、 精通python、java、c/c++等一种以上程序语言；4、 愿意挑战新的算法和新的领域；5、 良好的学习和研究能力，能够独立阅读英文文献；6、 良好的沟通和表达能力，具有团队协作精神。工作职责：1、 负责公司在传感器人工智能、深度学习领域的技术研究工作，追踪业界在人工智能领域的技术发展；2、 探索人工智能技术在智慧感知传感器领域的应用；3、 推进人工智能技术的外部技术研究合作。
229,12000,21000,岗位职责：1.完成基于深度学习框架、统计机器学习等机器学习技术的研发;2.完成图像增强、图像降噪、特征提取、图像匹配等技术的研发;3.？完成图像识别和分类等相关算法的研发和实现；4.？利用机器学习技术进行图像处理;5.？完成机器学习模型的设计、训练、算法优化等；6.？负责图像相关算法的产品化落地；7.？负责算法的性能优化；8.相关技术文档撰写；9.？致力于成长为图像视觉类ai全栈算法工程师任职要求：1.？计算机相关专业，硕士及以上学历；2.？熟悉c/c++、python、matlab等开发工具，有很强的算法实现能力;3.？熟悉tensorflow/caffe等深度学习框架；4.？熟悉opencv/halcon等常用开源视觉库；5.熟悉图像分类识别技术；6.良好的数理基础和编程能力；7.能够将算法落地到实际产品中；8.有大规模图像处理经验的优先；9.有并行计算开发经验者优先；10.有图像分类识别经验者优先；11.？有图像领域的***学术论文者的优先；12.良好的英文听说读写能力13.具有良好的敬业精神、团队合作能力和沟通能力14.能力可以偏向于数字图像处理或者机器学习方向或者两者均具备？福利待遇：1、拥有竞争力的全面薪酬，基本工资+津贴补贴+奖金+五险一金+年度调薪+其他2、享受国家规定的带薪年假、法定节假日3、享有年度体检、公司配套健身房、生日会、团队建设等员工关怀4、视觉检测领域专家技术指导，技术水平提升快，个人成长空间大易思维正处于快速发展期，极具市场竞争力！欢迎有识之士加入易思维团队！ 见微知著，引领未来！
225,12000,20000,岗位职责：使用数据分析、建模和数据挖掘技术，分析业务数据，进行关联关系分析、异常分析、趋势分析和行为预测。岗位要求：1、有较好的沟通能力和团队精神，能够快速融入团队和熟悉业务；2、具有良好的统计学、数学、人工智能和数据挖掘知识基础，具有日志数据关联分析经验；3、熟悉大数据处理平台，了解mapreduce、spark编程，熟练使用数据库：sql、nosql；4、熟悉linux下工作环境，，熟练掌握至少一门编程语言:java、python、r；5、对海量数据挖掘、深度学习具有浓厚兴趣；具备强烈的进取心、求知欲及团队合作精神；6、具有信息安全基础，掌握机器挖掘算法，并能熟练应用到网络安全领域；7、必须要有自然语言处理，语义分析，文本数据挖掘经验优先。
234,12000,20000,"岗位职责：1、实现大数据环境下的分布式数据挖掘、机器学习算法；2、利用机器学习技术，改进课程推荐系统，优化用户体验；3、优化用户画像、优化内容特征、改进推荐模型；4、与业务团队紧密沟通和联系，解决其他机器学习功能需求。任职要求：1、本科及以上学历；2、熟悉 linux 开发环境，熟悉 java/c++/python 中的一种；3、对数据挖掘、机器学习有浓厚兴趣；4、优秀的编码与代码控制能力, 有扎实的数据结构和算法功底；5、良好的逻辑思维能力，能够从海量数据中发现关键特征；6、有推荐系统，搜索，自然语言处理工作或教育行业经验优先。薪酬福利体系：1、一周五天制工作，入职满一年后按工龄长短即开始有5-10天带薪年假；2、公司拥有完善的培训体系，入职后将有一系列专业的培训；3、定期举行员工各种活动，丰富员工业余生活；4、按照国家规定，为员工缴纳五险一金；5、每年一次免费的员工体检；6、员工生日补贴……"
238,12000,20000,"岗位职责：1、产品的算法开发和研究；2、使用大数据、自然语言、机器学习、深度学习等技术，对行业信息进行分析、处理、归纳、形成高层次的关系理解；3、发掘数据中的价值和规律，为产品提供全面、高价值的数据分析并能够与产品经理、开发进行沟通，完成系统分析报告。任职要求：1、硕士及以上学历，计算机、数学、统计学相关专业；2、2年以上机器学习、深度学习、自然语言处理等领域工作经验；3、熟悉机器学习及深度学习框架，如sklearn、xgboost、keras、tensorflow等4、熟悉自然语言处理，熟悉nltk、gensim、corenlp等自然语言处理工具；5、有实际数据处理经验，善于持续提高特定问题的准确率。加分项：1、有交通出行领域数据处理及算法经验，具有交通出行领域知识；2、在国内外人工智能算法比赛中获奖；3、熟悉大数据技术,包括hive、spark、kylin等，熟悉python语言；4、有海量数据处理经验；5、精通scala语言，熟练的英语阅读和沟通能力。"
246,12000,20000,1、图像处理/信息处理/通信/电子类相关专业本科以上学历;？？？2、熟悉图像处理及机器视觉的基础理论和算法知识，有图像处理实际项目开发经验。？？？3、熟悉通过图像处理库halcon；？？？4、 熟练使用visual c#工具。工作职责？？？？？工业数字图像处理算法的开发，计算机视觉软件开发，主要使用visual c#，使用halcon图像处理算法库，开发工业视觉检测产品。人才理念？公司的发展与员工的发展是紧密联接在一起的，我们真诚邀请有本领、有理想、有奋斗精神的青年才俊与我们共同发展，公司为做出贡献的员工提供广阔的发展平台和有竞争力的薪酬待遇。？公司以发挥员工自主性、创造性，发掘员工潜能为基本人才观念。针对新员工，采用新老搭配的帮扶制度，帮助新员工尽快掌握必要技能，适应公司氛围。针对作出贡献的老员工，提供垂直调动、水平调动、外派学习、开拓新业务等职业发展机会。公司还不定期举行户外活动、文体竞赛、集体学习等活动，促进员工的身心健康和全面发展。
240,12000,18000,"岗位职责: 1. 参与室内定位核心算法的研发; 2. 参与定位并解决现有模块存在的问题; 3. 参与承担版本的系统设计、性能及内存调优工作;        岗位要求: 1. 数学、计算机、统计分析等相关专业，重点院校本科及以上学历;？2. 有扎实的计算机理论基础, 对数据结构及算法有较强的功底;3. 具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力;？4. 具有良好的java和android编程基础; 5. 具备良好的责任心和工作激情，团队合作能力强;6. 具有相关岗位工作经验者优先。"
242,12000,18000,岗位要求：1. 计算机、数学等相关专业，2年以上数据算法工作经验；2. 熟悉spark等大数据组件，并能将其应用于自然源处理、图像识别、文本挖掘；3. 具备常用机器学习、数据挖掘和自然语言处理相关知识，如决策树、支持向量机、线性回归、lr等；4. 具备一种或多种开发语言（如scala、python java等）的程序和算法开发能力，掌握常用数据结构和算法；5. 热爱大数据及相关开源技术，具备较强学习能力、探索精神及良好的团队合作精神。
244,12000,18000,1. 研究深度学习在智能交通领域中的核心算法，包括但不限于：车辆检测、车牌识别、人脸识别等；2. 将上述核心算法针对应用场景进行优化和定制；3. 编写相关算法分析和优化报告。 任职要求：1. 全日制硕士以上学历，计算机视觉、图像处理、机器学习等相关方向；2. 对工作充满热情，积极向上，对人工智能领域有浓厚兴趣，愿意主动跟踪最新的人工智能技术；3. 熟悉物体（车辆 、人脸、通用目标）检测、跟踪与识别的基本算法；4. 熟悉至少一种深度学习框架，包括caffe、pytorch、tensorflow、mxnet等神经网络计算框架；5. 熟练掌握至少一门计算机开发语言（c/c++、java、python等）；                                        6. 较强的沟通与协作能力。
224,12000,15000,岗位职责1、通用图像处理算法的实现和性能优化；2、针对特定行业用途的新型图像处理算法的研究和实现；3、负责项目中软件测试及技术文档撰写。任职资格1、图像处理、模式识别、机器视觉及应用数学等相关专业；2、有图像分割、图像配准、图像识别经验，精通c/c++；3、熟悉opencv、dalsa或其他图像处理库及图像识别相关算法；4、具备良好的代码书写规范和文档编写能力；5、有图像处理、模式识别的项目经验。
227,12000,15000,岗位职责：负责图像处理、计算机视觉、模式识别相关算法软件的开发工作任职要求：1、本科及以上学历，图像处理、计算机视觉、模式识别相关专业；2、具有1年以上数字图像处理、计算机视觉、模式识别算法研发经验，较强的算法分析与设计能力；3、精通c/c++，熟练vc、matlab、opencv的使用，有较强的编码能力；4、具有较强的国内外学术文献检索与阅读能力；5、独立分析问题和解决问题的能力，工作主动性和跨团队合作能力；6、良好的职业道德，工作认真、踏实，责任心强，有团队协作及质量意识；7、能适应一定程度的出差。
222,12000,13000,工作内容：1.在对海量非结构化文本内容进行数据挖掘的基础上形成分词语料库2.基于知识图谱技术开发自然语言识别的算法架构3.配合产品人员推进产品的商品化，组织人员不断跟进bug修正任职要求：1.计算语言学、神经网络、模式识别相关专业研究生2.数学、统计学基础扎实，熟练掌握基于深度学习的数据挖掘算法3.具有自然语言处理项目的实际经验（检索系统、推荐系统、人机对话、舆情分析、机器翻译等）4.熟练掌握主流程序设计语言，熟悉python者优先5.熟悉机器学习常用工具，如tensorflow、scikit-learn，熟悉至少一种开源工具库，如nltk、word2vec、fasttext、paddle工作地点：江苏省南京市鼓楼区南昌路40号长江科技园
228,12000,13000,岗位职责：1）研究机器学习、深度学习、大数据等领域的前沿技术，结合具体业务场景解决实际问题；2）利用大数据技术，深度挖掘行业内潜在的价值和需求，进而提供更有竞争力的产品和服务；3）负责相关算法在产品中的落地。任职要求：1）数学、计算机、电子、自控、通信等相关专业；2）熟悉linux系统，具有shell、python等脚本语言开发经验，对hadoop、spark、storm等技术有深入了解；3）精通常见机器学习算法（如逻辑回归、svm、神经网络、决策树、贝叶斯等），有实际建模经验；                                4）了解常用的深度学习框架，如tensorflow、caffe、keras等。有人工智能领域神经网络模型、模式识别经验者优先。
261,11000,50000,岗位职责：1、负责图像处理相关算法的研发与应用；2、负责算法的设计、实现及移植，并测试调试。任职要求：1、工作年限：三年以上；2、熟悉图像处理算法、计算机视觉等相关知识。具备最少一项以下经验，具备多项者优先：a) 去噪算法、超分算法、图像增强算法；b) 图像融合算法、立体匹配算法；c) 目标检测、目标识别算法；d) 其它相关图像及机器视觉算法等；3、熟悉c/c++开发，有深厚的数学功底和很强的算法实现能力，具有良好的代码质量和风格；4、具有一定的算法代码优化能力；5、发表过高水平的图像、视觉、机器学习相关学术论文/专利者优先（iccv/cvpr）；6、熟练的英文文献阅读能力。
264,11000,50000,1、与客户沟通，理解、细化客户的数据分析需求。需求范围包括：企业网络舆情、品牌网络口碑、消费者洞察、社会化运营数据等2、使用公司自有的大数据工具以及外部开放工具，根据实际需求进行数据的收集、整理和筛选3、使用数据研究的各种方法及分析模型，结合相关行业背景，洞悉数据背后的信息与价值，敏锐发现问题并提出合理的解决方案和意见4、承担分析报告撰写的主笔工作，负责数据分析项目交付工作。5、管理数据分析团队，并与其它团队高效协同工作。任职要求1、本科以上学历，博士、硕士优先，3年以上工作经验；2、具备数据操作能力，熟练使用excel，熟练使用一种统计软件；3、具备独立完成ppt制作，报告撰写能力；4、良好的英文写作能力，能撰写英文分析报告；5、良好的沟通与表达能力，能与客户对接需求，并主导项目交付；6、具备团队管理能力，重大项目管理经验；7、熟练掌握至少一种以下数据分析/数据挖掘软件，如r、spss clementine、python、sas等，熟悉数据分析的体系架构与方法。
248,11000,30000,职位要求：1、学历本科、专业计算机、电子工程、自动化、应用数学、信息处理等相关专业毕业2、2年以上工作经验，具有良好的数学背景，熟悉各类基本的音频算法，如声源定位、回声消除、噪声抑制、语音识别；3. 能熟练的运用matlab进行算法仿真者优先；4 、精通c/c++编程，快速编程能力强； 5、具有创新精神，学习能力强，英文读写能力强； 6、具有良好的敬业精神、团队合作精神和沟通能力较好。岗位职责1、根据项目需求和公司领导安排，从事音频处理与分析领域的算法研发。 2、设计能够解决应用需求的具体处理算法，根据项目需求，完成算法的设计、验证和优化； 3、负责相关音频处理算法的代码实现、集成、测试与维护；
252,11000,30000,工作职责1. 负责图像处理、视频分析等计算机视觉的前沿技术研究；2. 负责大规模实际应用中计算机视觉领域的技术研发与性能优化。任职要求1. 重点院校硕士及以上学历，计算机、信号处理、自动化等相关专业，具备一定的模式识别、图像处理等理论知识；2. 英语六级以上，具备中英文学术论文的调研能力，，有从事研究型项目的经历；3. 具备较好的c、c++或python编程能力，有一定的代码开发经历；满足以下条件的优先考虑：1. 熟悉rnn、cnn等深度学习算法及其常用工具如caffe、theano、torch等；2. 在cvpr、iccv等***会议或期刊上发表过论文；3. 在imagenet、lfw、kaggle等国际著名比赛上成绩优秀者；4. 有计算机视觉方面有较丰富的实际系统研究和开发经验者；（此岗位为科大讯飞集团统一招聘岗位，人员通过简历筛选、笔试、初试、复试、终审等环节后录用。）
253,11000,30000,工作职责1、负责语音识别/语音合成/声学前端处理方向前沿算法的研究和开发工作；2、负责语音识别/语音合成/声学前端处理方向具体业务的效果定制优化和分析工作。任职要求1. 重点院校硕士及以上学历，计算机、信号处理、自动化等相关专业，具备一定的模式识别、语音相关方面的理论知识；2. 英语六级以上，具备中英文学术论文的调研能力，有从事研究型项目的经历；3. 具备较好的c、c++或python编程能力，有一定的代码开发经历；满足以下条件的优先考虑：1. 熟悉rnn、cnn等深度学习算法及其常用工具如caffe、cntk、tensorflow等；2. 有语音识别、语音合成等相关方向较丰富的实际系统研究和开发经验者；3. 在语音相关领域会议或国内外知名比赛中获得过优秀成果者；（此岗位为科大讯飞集团统一招聘岗位，人员通过简历筛选、笔试、初试、复试、终审等环节后录用。）
265,11000,30000,"1、负责公司产品的算法研究与开发；？2、对研究的算法及相关理论结合公司实际产品独立评估算法可行性，并建立模型，制定算法及整体技术设计规范；？3、在开发过程及应用过程中充分验证并且充分结合实际使用情况改良优化算法，使之转化为产品可实用方案；？4、参与公司产品定义及设计提出相关建议； 5、领导交代的其他任务；             岗位要求：1、本科以上学历，有相关工作经验。2、熟悉大规模并行计算的基本原理并具有实现并行计算算法的基本能力，熟悉hadoop或者spark等架构，有过基于fpga指令的算法优化经验者优先考虑。3、熟悉深度神经网络，对常用的开源实现,如caffe、theano或convnet等有实践经验者优先考虑 。4、待遇从优，可议。"
249,11000,25000,要求：1. 计算机/数学相关专业，硕士及以上学历优先；2. 数学基础扎实，熟练掌握c/c++编程，逻辑思维严密；3. 熟悉多任务操作系统，具备算法优化能力（arm neon 或dsp等）；4. 熟悉计算机视觉，图像处理算法，了解深度学习架构；5. 能熟练的运用opencv或matlab进行算法仿真；6. 具备团队开发意识，责任心强，有上进心；职责：1. 验证设计汽车辅助驾驶多传感器的智能识别算法；2. 算法优化及不同平台移植任务；
250,11000,25000,要求：1、专科以上学历，计算机相关专业毕业；2、工作经验3年以上1个，有数据开发清洗项目经验，数据定时调度操作配置经验。能根据项目需求规划数据模型，并撰写相关数据规划及模型文档。3、工作经验3年以内1个，有数据开发清洗项目经验，数据定时调度操作配置经验。4、熟练oracle、mysql数据开发，先熟练运用sql开发相关数据存储过程。熟悉阿里云大数据平台优先。工作职责：                        负责项目后端数据的抽取、整合、清洗、转换等工作，按照项目需求及时完整的提供相关数据给于后端开发。公司介绍：       华云慧通是国内领先的云平台、大数据平台、企业级互联网架构平台的集成服务商、软件开发商。中国最卓越的生态级缔造者阿里巴巴、阿里云与华云慧通签署“要命级合作协议”，共同打造国内税务领域的云计算、大数据、互联网+、创新应用的生态体系。  华云慧通于2016年成立，汇集国内it管理人才、咨询人才、产品人才、实施人才、架构人才，以成为“有态度的云上税务大数据服务商”为使命，在税收现代化改革的大潮流中，借助云计算、大数据、互联网+等新技术新思想，为税务等政务领域注入一股创新的、前瞻的、快速发展的活力，助力国内税务在“后金三”时代插上新技术新思想的翅膀，实现更高层次的飞跃。  华云慧通在北京、武汉、广州、济南成立分子公司，布局全国各省税务市场，以“创新、务实、专业”为企业文化，以“成为企业与员工共同发展的家园”为己任，为员工提供良好的工作环境。结合云计算、大数据、互联网+等技术发展新潮流，为员工提供完备的培训体系，以及更有前景的职业发展通道，满足员工自我发展与自我实现需要。  适逢业务高速发展阶段，期望政务领域、税务领域、电商领域的it精英才俊加盟，共谋辉煌事业，公司提供良好的办公环境、福利待遇、成长空间欢迎您的加入。
251,11000,25000,任职资格：1、全日制本科及其以上学历，电子类相关专业；2、具有3年以上fpga设计经验，熟悉fpga或cpld设计开发、调试流程，能够使用相关测试工具和示波器、逻辑分析仪等仪表；3、熟练掌握fpga开发以及仿真方法；4、能够独立进行fpga需求分析芯片评估器件选型并完成fpga系统设计代码设计仿真和调试工作；5、熟悉逻辑设计基础知识，精通通用的硬件描述语言及逻辑器件、开发工具；熟悉基本电路基础；6、思维敏捷，分析判断能力强，具有解决复杂问题的能力。岗位职责：1、负责fpga软件代码编写、模块设计及仿真；2、fpga硬件调试，以满足各种需要的功能及性能；3、进行系统的功能定义，算法实现；4、分析并解决开发过程中的问题，fpga的资源及时序优化；5、配合软、硬件设计人员完成相关任务目标；6、协助测试工程师制定测试计划，定位发现的问题。
256,11000,25000,"岗位职责：1.图像处理算法的设计与实现；2.现有算法的优化和完善；3.有关技术方案、文档的编写，算法单元的测试。任职资格：1.在数字图像处理/机器视觉领域做过研究，熟悉各种图像处理和计算机视觉算法；2.熟悉边缘检测，图像识别算法，熟悉自动光学检测(aoi)中采用的算法；3.有c/c++开发经验优先，有opencv或其他图像处理库开发经验优先；4.对光学（激光、偏振光）相关图像算法或者对工业自动化视觉检测有项目经验者优先；5.会使用至少一种商用机器视觉库(如halcon, ni labview, 康耐视-visionpro等)优先；6.二年以上同岗位工作经验。"
260,11000,25000,岗位职责：1、负责图像预处理、图像分割算法的开发和实现；2、负责图像特征提取、运动物体跟踪算法的开发和实现；3、负责设计实验相关算法，并优化算法性能；4、负责撰写相关算法实验报告和技术文件；任职要求：1、本科毕业三年以上相关工作，图像处理、模式识别等相关专业优先；2、了解图像处理与模式识别基本算法，熟悉opencv等图像处理库；3、熟悉matlab开发，熟悉c/c++/c#语言；4、热爱研究，有较强责任心，具有良好的团队协作能力、沟通能力、为人谦虚踏实。
263,11000,25000,岗位职责：？1.负责大数据平台的规划建设;？2.搭建基础底层数据平台;？3.负责根据公司战略完成大数据业务应用产品的规划设计、开发、上线与优化.任职要求：1.计算机、数学相关专业；2.精通大数据基础技术平台建设相关技术：java/python/hadoop/hbase/spark/storm/solr等;3.有丰富的机器学习/推荐系统相关的建模和算法经验;4.有大数据研发，可视化，实时计算经验.5.有电商大数据工作经验者优先；
254,11000,20000,工作描述：1. 从事视觉算法的设计与实现；2. 现有算法的优化和完善；3. 员工培训及国外新技术的跟踪；4. 完成领导安排的其他任何事物。岗位要求：1.本科以上学历，硕士优先，图像处理、计算数学、应用数学及相关专业应届生；2.熟悉计算机视觉或图像处理领域的一般算法，有使用opencv经验或其他图像处理库经验；3.熟悉c/c++，matlab，能采用上述语言实现图像处理的软件算法；4.英语4级以上，能够熟练阅读和理解英文资料。薪资范围：10000-20000元/月
255,11000,20000,岗位职责1、负责在人工智能各方向技术研究与应用。负责结合具体业务，对算法模型进行优化，提出独立见解和解决方案，帮助团队解决实际问题。任职要求1、人工智能、数学、计算机等相关专业，本科学历以上，至少2年以上工作经验。2、熟悉自然语言处理；熟练掌握java/python  等一种以上语言。3、熟悉深度学习、卷积神经网络，对tensorflow等框架有实际经验。4、熟悉关系型数据库和nonsql数据库。5、具有较强的数据建模、数据挖掘能力，具有较强的独立思考能力、创新能力和学习能力。                                        6、熟悉hadoop体系技术者优先考虑。
257,11000,20000,岗位职责:1.负责能根据业务需要设计和实现相应的图像识别和图像处理算法；2.负责相关算法的核心代码实现；3.对已有图像或视频处理算法的改进、维护工作。任职资格：1.硕士及以上学历，信号处理、计算机、通信、应用数学等相关专业；2.掌握机器学习/深度学习等相关知识，有该领域算法的研究或开发经验；3.计算机视觉（如图像识别理解，人脸检测识别、目标检测和跟踪、特定目标识别)相  关经验；4.掌握图像处理基本算法，并在与图像识别和图像处理方向上有实际项目工作经验；？熟练使用c和c++，并有相关开发经验；5.熟悉opencv、matlab，有三维图像处理经验者优先；6.有人脸识别，车牌识别经验者优先；7.具有良好的沟通合作能力、抗压能力，接收新事物快，有团队合作能力。此职位为北京优创新港科技股份有限公司所招聘职位。
258,11000,20000,"岗位职责：1.       分析和挖掘端到端的供应链运作优化机会，构建相应的数据体系与数据模型，提升供应链的运作效率和降低成本；2.       负责公司供应链数据产品的算法分析及实现，包括仓储，运输，分销等。3.       通过数据分析及机器学习实现仓储的智能运营决策。比如：上架推荐决策、批次生成策略、路径规划决策、拣选策略决策等等，有力支撑业务运营。4.       针对大规模非结构化数据，进行数据清洗，特征挖掘，统计分析等。5.       负责对接越海剑桥研究中心，协助智能供应链模型研究;6.       负责对接it产品经理，协助完成大数据系统研发逻辑设定; 任职资格：1.       数学、统计学、计算机、以及运筹学等相关专业硕士学位或以上学历，1年以上工作经历；2.       编程基础扎实，熟练使用至少一种常用的编程语言，包括但不限于：c++、python、scala、go、java、matlab；3.       熟悉了解数据分析相关软件，如excel, r, spss等，了解模拟仿真软件（如simio, anylogic, netlogo）优先；4.       在机器学习或数据挖掘方向有较强的积累，熟悉经典的算法并有实践经验，包括lr、svm、gbdt、reinforcement learning、deep learning；5.       掌握数理统计和数据分析，掌握回归分析、分类、聚类、关联规则等常用数据统计模型和挖掘技术，并有独立完整的建模实践经验；6.       逻辑思维严密，有很好的分析能力和报告展示能力，具备业务抽象、分解和标准化的能力，有很好商业嗅觉；7.       如有物流仓储行业经验更佳。"
259,11000,20000,岗位职责：1、负责信号处理算法仿真、实现，信号处理板的开发设计；2、负责相关产品软件设计、调试；3、根据整机方案或要求提出信号处理部分的设计方案或技术要求；4、按照公司质量体系，国军标相关文件，以及标准化要求编写相关技术文件；5、负责整机联调、整机测试；6、负责图纸归档、软件归档；7、为销售、售后、生产提供技术支持。？任职要求：1、国内“211工程”高校信号处理、信号与系统、通信工程、雷达等相关专业毕业，本科及以上学历，有国企相关设计研究所从业经验或相关工作经验优先；2、熟悉通信原理、软件无线电原理等相关基础知识，熟悉常用的fft、变频处理、卡尔曼滤波、lms算法等数字信号处理算法；3、精通通信信号处理算法，熟练应用matlab工具，熟悉信号的数学模型及算法仿真，并能根据需要建模仿真；4、具备fpga、dsp程序的设计、开发和调试能力；5、身体健康，团队协作意识及责任心强，积极主动，能承担较强工作压力，能满足突发事件的处置要求。
262,11000,20000,岗位职责：1、负责产品的推荐与其他场景的基础数据挖掘；2、根据海量用户行为的分析和挖掘，构建用户画像、标签系统等；3、负责个性化推荐、个性化推送算法设计和优化；4、负责推荐后台相关功能开发；5、推荐算法的应用与调优，提升推荐效果；任职要求：1、精通至少一种开发语言（python，c++，java等）、熟悉数据结构与算法、熟悉脚本编程，有良好的编程习惯；2、熟悉大规模数据挖掘、机器学习、自然语言处理等相关技术；3、优秀的分析和解决问题的能力，对挑战性问题充满激情。
291,10000,30000,岗位职责：1、负责图像处理算法的研究并负责图像处理算法的编码实现；2、负责图像处理算法的优化并与嵌入式工程师合作进行商品化支持；3、负责专利申请。 任职资格：1、硕士及以上学历，控制科学或计算机科学及相关专业；硕士阶段从事机器视觉与图像处理相关领域研究；2、精通c/c++/matlab编程语言，熟悉算法建模与仿真；3、熟悉常用的图像/视频格式，熟练使用opencv/cximage等图像处理库；4、对随机过程/模式识别等理论以及常用的图像处理，视频处理算法有深刻理解；5、良好的英语读写能力，良好的逻辑分析能力；6、良好的沟通能力及团队合作精神，研究型人才的工作态度以及旺盛的好奇心。
277,10000,25000,"岗位职责：1.使用者需求分析，问题处理及操作指导   2.数据分析与预测，撰写分析预测程序(python or r)与建模，了解machine learning(机器学习) 或 deep learning(深度学习)   3. 训练人工智能模型、优化人工智能模型、以及开发其应用系统。  4.语意辨识 / 影像图形辨识的算法研发和优化？任职要求：1.熟悉以下语言(一项或多项)：c, c++, c#, java, python等程序开发，具云端架构、平行运算、或数据库实务经验尤佳  2.运用深度学习(deep learning)和机器学习，开发影像识别，语义分析，语音识别等人工智能算法  3.具机器学习(machine learning)、图形识别(pattern recognition)等研究背景与知识  4.熟悉常用机器学习算法;  5.对深度学习基本原理有扎实理解;  6.良好的沟通能力及团队合作的特质"
267,10000,20000,工作职责1.     负责计算机视觉&机器学习（包括深度学习）算法的开发与性能提升，负责下述研究课题中的一项或多项，包括但不限于：检测、跟踪、分类、语义分割、深度估计、图像处理、数字信号处理、视频分析、3d图形与视觉、强化学习、机器人技术相关算法等；2.     推动计算机视觉&机器学习算法在众多实际应用领域的性能优化和落地；3.     提出和实现最前沿的算法，保持算法在工业界和学术界的领先。岗位要求1、计算机或应用数学相关专业，研究生及以上学历；2、具有1-3年工作经验或者优秀经验应届毕业生；3、具有较强的编程能力：c/c++，matlab；4、至少具有1年利用深度学习解决图像处理或数字信号处理的项目经验。
269,10000,20000,工作职责:1、负责深度学习视觉算法在自动驾驶中的探索、应用与优化；2、负责人工智能算法在硬件平台上的实现以及优化；3、支持项目开发团队解决客户问题。任职资格:1、模式识别或人工智能相关专业本科/硕士/博士毕业；2、有1年以上计算机视觉领域项目研究经历；3、至少熟悉caffe、torch等一种深度学习开源框架；4、了解深度学习在人工智能的图像处理的技术思想；5、具有adas产品图像算法、自动驾驶车，无人车开发经验者优先；6、善于学习新的知识，乐于发现、分析和解决复杂问题，具备良好的沟通与协调能力，良好的团队合作意识，较强的责任感及进取精神。
270,10000,20000,工作职责:1、负责交通大数据分析模块的需求分析、算法设计和代码实现2、参与系统稳定性、扩展性提升和性能调试任职资格:1. 本科及以上学历，计算机或数学相关专业；2. 具备java编程能力，了解spark、搜索引擎、数据挖掘、机器学习等技术；3. 熟悉常见的算法，如决策树、遗传算法、k均值、随机森林、回归等；3．较强的数学建模能力、逻辑思维能力、独立思考能力；5. 关注新业务和新技术，学习能力强，具有一定的创造力和承压能力。
272,10000,20000,工作职责：？1、进行算法相关的需求分析、调研、实现、评估、优化，输出设计规格书；？2、进行模块的详细设计及编码，代码review及单元测试；？3、参与影像链设计工作：数据采集、算法优化、重建、图像优化；？4、跟踪、了解本岗位所需要的相关行业知识，参与预研工作。？？职位描述：？1、理工类院校本硕毕业，具有以c++语言为主语言的项目开发背景，熟悉计算机软、硬件体系结构；？2、熟悉windows操作系统原理，并掌握windows操作系统下的程序设计、开发、调试、测试方法与流程；？3、掌握系统级、算法级、代码级等多方面、多层次的程序性能诊断与调优方法。
